BusinessUnit,DateKey,Rolling14Forward,Prediction,Absolute Error
East,2018-05-15,10,8.675,0.20
East,2018-05-16,9,9.4,0.40
East,2018-05-17,9,9.125,0.10
East,2018-05-18,10,9.525,0.03
East,2018-05-19,9,9.275,0.13
East,2018-05-20,9,9.1,0.03
East,2018-05-21,9,9,0.13
East,2018-05-22,10,9.275,0.28
East,2018-05-23,8,7.8,0.60
East,2018-05-24,7,6.65,0.58
East,2018-05-25,6,6.225,1.38
East,2018-05-26,6,6.3,1.35
East,2018-05-27,6,6.5,1.10
East,2018-05-28,6,6.1,0.65
East,2018-05-29,6,6.125,0.50
East,2018-05-30,6,6.05,0.20
East,2018-05-31,6,6.4,0.73
East,2018-06-01,6,5.9,0.33
East,2018-06-02,5,5.725,0.85
East,2018-06-03,5,5.3,0.55
East,2018-06-04,5,5.675,0.68
